City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,Buarcos,PT,64.74,broken clouds,40.166,-8.8768,Hotel Sweet Atlantic SPA
203,Saint-Denis,FR,67.59,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
205,Whitehorse,CA,42.03,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
207,Ayan,RU,30.69,overcast clouds,56.45,138.1667,Gostinitsa
210,Vestmannaeyjar,IS,49.19,few clouds,63.4427,-20.2734,Glamping & Camping
212,Shizunai,JP,41.11,broken clouds,42.3339,142.3669,Shizunai Eclipse Hotel
213,Saint Paul,US,50.85,overcast clouds,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
215,Lagoa,PT,60.24,heavy intensity rain,39.05,-27.9833,Casa Das Faias
216,Ambovombe,MG,67.57,broken clouds,-25.1667,46.0833,RELAHARA
217,Porto Santo,PT,62.98,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
220,Roald,NO,43.32,broken clouds,62.5833,6.1333,Flem Cabins
222,Tuatapere,NZ,44.46,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
224,Hokitika,NZ,51.96,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
227,Elizabeth City,US,64.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
228,Thompson,CA,44.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
229,Lysva,RU,32.27,overcast clouds,58.1086,57.8053,Center Hotel
233,Katsuura,JP,59.36,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
234,Geraldton,AU,54.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
235,San Carlos De Bariloche,AR,38.95,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
236,Klaksvik,FO,45.52,few clouds,62.2266,-6.589,Airbnb rooms
238,Roma,US,48.96,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
240,Resen,MK,55.04,light rain,41.0889,21.0122,Royal L Hotel
241,Koutsouras,GR,65.32,clear sky,35.0339,25.9469,The White Houses
243,Ust-Ishim,RU,55.53,overcast clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
246,Bereda,ES,58.41,clear sky,43.2686,-7.5406,Pazo de Verdes
249,Bethel,US,55.49,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
254,Goksun,TR,56.3,broken clouds,38.021,36.4973,Prof. Dr. Mehmet Saglam Ogretmenevi
255,Xining,CN,47.41,overcast clouds,36.6167,101.7667,Super Leisure Hotel
256,Half Moon Bay,US,63.86,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
