City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Ust-Ishim,RU,57.6935,71.1665,55.53,85,100,5.32,overcast clouds
244,Kyaikto,MM,17.3,97.0167,83.84,77,100,6.22,overcast clouds
245,Marzuq,YE,14.4,46.4667,72.88,56,14,4.61,few clouds
246,Bereda,ES,43.2686,-7.5406,58.41,85,0,5.03,clear sky
247,Cabo San Lucas,MX,22.8909,-109.9124,88.11,25,0,5.75,clear sky
248,Eyl,SO,7.9803,49.8164,82.89,72,6,10.27,clear sky
249,Bethel,US,41.3712,-73.414,55.49,30,0,17.27,clear sky
250,Gao,ML,16.6362,1.637,89.4,7,66,9.73,broken clouds
251,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,76.8,100,75,0.0,moderate rain
252,Vrises,GR,35.492,23.8899,71.19,51,3,6.46,clear sky
253,Gerash,IR,27.6652,54.1371,80.74,28,36,5.41,scattered clouds
254,Goksun,TR,38.021,36.4973,56.3,40,52,2.66,broken clouds
255,Xining,CN,36.6167,101.7667,47.41,53,100,10.2,overcast clouds
256,Half Moon Bay,US,37.4636,-122.4286,63.86,63,0,23.02,clear sky
257,Aliwal North,ZA,-30.6937,26.7114,56.52,59,0,5.37,clear sky
258,Phan Thiet,VN,10.9333,108.1,80.29,88,100,3.06,overcast clouds
259,Chaoyang,CN,41.5703,120.4586,46.4,51,0,4.68,clear sky
260,Naron,ES,43.5167,-8.1528,61.56,84,0,9.53,clear sky
261,Loa Janan,ID,-0.583,117.095,73.6,98,92,1.77,overcast clouds
262,Jacqueville,CI,5.2052,-4.4146,80.49,77,100,2.57,overcast clouds
263,Charleston,US,32.7766,-79.9309,79.02,36,0,12.66,clear sky
264,Norman Wells,CA,65.282,-126.8329,32.04,69,100,3.44,overcast clouds
265,Khalkhal,IR,37.6189,48.5258,49.73,84,31,2.98,scattered clouds
266,Euclid,US,41.5931,-81.5268,53.42,50,40,11.5,scattered clouds
267,Lasa,IT,46.6166,10.7002,58.08,73,3,5.66,clear sky
268,Cidreira,BR,-30.1811,-50.2056,66.11,93,100,9.71,moderate rain
269,Borogontsy,RU,62.6683,131.1683,11.39,99,87,3.58,overcast clouds
270,Mundo Nuevo,MX,18.7,-95.5,82.0,66,6,10.58,clear sky
271,Torbay,CA,47.6666,-52.7314,49.87,84,75,9.22,broken clouds
272,Hare Bay,CA,48.8499,-54.0148,51.19,64,100,9.98,overcast clouds
273,Rabo De Peixe,PT,37.8,-25.5833,63.28,85,75,23.02,light rain
274,Les Cayes,HT,18.2,-73.75,79.09,72,74,9.24,broken clouds
275,Mugan,CN,35.9404,101.3842,48.6,52,100,3.85,light rain
276,Nouadhibou,MR,20.931,-17.0347,67.98,73,0,20.71,clear sky
277,Hearst,CA,49.6835,-83.6665,48.45,46,10,4.61,clear sky
278,Santiago,CL,-33.4569,-70.6483,73.29,46,0,4.61,haze
279,Komsomolskiy,UZ,40.4272,71.7189,65.12,63,100,4.61,overcast clouds
280,Ranong,TH,9.9658,98.6348,80.22,85,91,0.94,overcast clouds
281,Astana,KZ,51.1801,71.446,51.75,58,0,2.24,clear sky
282,Vila Velha,BR,-20.3297,-40.2925,85.95,73,20,12.66,few clouds
283,San Ignacio,BZ,17.1561,-89.0714,82.54,74,75,0.0,broken clouds
284,Gambela,ET,8.25,34.5833,74.88,85,100,0.76,overcast clouds
285,College,US,64.8569,-147.8028,48.09,48,84,1.01,broken clouds
286,Lompoc,US,34.6391,-120.4579,69.01,61,0,17.0,clear sky
287,Beringovskiy,RU,63.05,179.3167,19.06,97,85,7.25,overcast clouds
288,Buchanan,LR,5.8808,-10.0467,81.81,79,62,8.21,light rain
289,Ransang,PH,8.9603,117.5828,78.04,88,100,4.59,overcast clouds
290,Tondi,IN,9.7333,79.0167,86.29,72,100,12.26,overcast clouds
291,Dasoguz,TM,41.8363,59.9666,69.75,32,0,6.91,clear sky
292,Shubarshi,KZ,48.5872,57.1869,59.56,35,2,7.61,clear sky
293,Lufkin,US,31.3382,-94.7291,82.06,43,0,8.05,clear sky
294,Makaha,US,21.4694,-158.2175,78.57,64,0,4.61,clear sky
295,Tiarei,PF,-17.5333,-149.3333,82.42,74,9,23.73,light rain
296,Barhi,IN,23.9,80.8,91.02,13,25,3.67,scattered clouds
297,Sambava,MG,-14.2667,50.1667,76.82,82,22,16.69,few clouds
298,Khani,GE,41.9563,42.9566,47.77,95,100,3.29,overcast clouds
299,Sorong,ID,-0.8833,131.25,77.59,84,100,4.43,overcast clouds
300,Tchollire,CM,8.4022,14.1698,83.46,52,50,1.36,scattered clouds
301,Yulara,AU,-25.2406,130.9889,75.04,35,100,6.91,overcast clouds
302,Grand Gaube,MU,-20.0064,57.6608,74.37,78,0,3.0,clear sky
303,Chuy,UY,-33.6971,-53.4616,66.0,54,0,9.91,clear sky
304,Paredon,MX,16.0333,-93.8667,90.03,51,8,11.01,clear sky
305,Akcaabat,TR,41.0212,39.5715,55.27,94,40,2.3,scattered clouds
306,Manta,EC,-0.95,-80.7333,82.18,69,100,9.22,overcast clouds
307,Yatou,CN,37.15,122.3833,46.26,89,100,8.63,overcast clouds
308,Novikovo,RU,51.1537,37.8879,47.98,71,96,2.33,overcast clouds
309,Kavieng,PG,-2.5744,150.7967,82.31,75,100,7.87,overcast clouds
310,Sung Noen,TH,14.8992,101.8207,82.54,84,100,3.24,overcast clouds
311,Talas,TR,38.6908,35.5538,59.67,39,75,0.0,broken clouds
312,Rocha,UY,-34.4833,-54.3333,63.3,54,0,10.89,clear sky
313,Pisco,PE,-13.7,-76.2167,71.65,68,0,8.05,clear sky
314,Bac Lieu,VN,9.285,105.7244,83.35,73,100,6.22,overcast clouds
315,Kuybysheve,UA,47.358,36.6491,58.51,57,100,7.29,overcast clouds
316,Yongzhou,CN,26.4559,111.5988,60.15,87,100,8.86,overcast clouds
317,Fortuna,US,40.5982,-124.1573,57.92,74,40,4.0,scattered clouds
318,Mount Gambier,AU,-37.8333,140.7667,66.11,72,86,10.36,overcast clouds
319,Baykit,RU,61.67,96.37,38.19,99,100,4.52,overcast clouds
320,Luanda,AO,-8.8368,13.2343,76.39,91,100,10.13,moderate rain
321,Henties Bay,NA,-22.116,14.2845,65.53,65,2,1.72,clear sky
322,Majene,ID,-3.5403,118.9707,79.25,83,100,3.62,overcast clouds
323,Kaduna,NG,10.5222,7.4383,85.19,41,75,4.36,broken clouds
324,Asfi,MA,32.2994,-9.2372,62.49,72,8,24.27,clear sky
325,La Macarena,CO,2.1837,-73.7849,88.63,55,100,2.57,overcast clouds
326,Lavrentiya,RU,65.5833,-171.0,29.16,87,99,11.52,overcast clouds
